,file,sampling point,stiffness,strength,yaw,x_offset,cup_a,cup_b,cup_c,cups engaged,result,cup engagement
0,2023087_proxy_sample_0_yaw_-15_offset_0.01_rep_0_stiff_low_force_low.json,0,1_low_stiffness,1_low_strength,-15,0.01,yes,no,yes,2,Good Pick,2 or 3
1,2023087_proxy_sample_2_yaw_45_offset_0.005_rep_0_stiff_high_force_low.json,2,3_high_stiffness,1_low_strength,45,0.005,yes,yes,yes,3,Good Pick,2 or 3
2,2023083_proxy_sample_1_yaw_-15_rep_0_stiff_medium_force_high.json,1,2_medium_stiffness,3_high_strength,-15,0.0,yes,yes,no,2,Bad Pick,2 or 3
3,20230731_proxy_sample_1_yaw_45_rep_0_stiff_low_force_low.json,1,1_low_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
4,2023087_proxy_sample_8_yaw_-15_offset_0.005_rep_0_stiff_low_force_low.json,8,1_low_stiffness,1_low_strength,-15,0.005,yes,yes,yes,3,Good Pick,2 or 3
5,2023087_proxy_sample_4_yaw_-15_offset_0.02_rep_0_stiff_low_force_medium.json,4,1_low_stiffness,2_medium_strength,-15,0.02,yes,no,yes,2,Bad Pick,2 or 3
6,2023087_proxy_sample_3_yaw_-15_offset_0.01_rep_0_stiff_high_force_low.json,3,3_high_stiffness,1_low_strength,-15,0.01,no,no,yes,1,Bad Pick,0 or 1
7,20230731_proxy_sample_1_yaw_45_rep_0_stiff_low_force_medium.json,1,1_low_stiffness,2_medium_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
8,20230720_proxy_sample_6_yaw_60_rep_0_stiff_high_force_medium.json,6,3_high_stiffness,2_medium_strength,60,0.0,yes,yes,no,2,Bad Pick,2 or 3
9,20230728_proxy_sample_6_yaw_60_rep_0_stiff_medium_force_low.json,6,2_medium_stiffness,1_low_strength,60,0.0,yes,yes,yes,3,Good Pick,2 or 3
10,20230724_proxy_sample_8_yaw_60_rep_0_stiff_high_force_high.json,8,3_high_stiffness,3_high_strength,60,0.0,yes,yes,yes,3,Bad Pick,2 or 3
11,2023088_proxy_sample_2_yaw_-15_offset_0.005_rep_0_stiff_medium_force_low.json,2,2_medium_stiffness,1_low_strength,-15,0.005,no,yes,no,1,Bad Pick,0 or 1
12,2023087_proxy_sample_2_yaw_45_offset_0.01_rep_0_stiff_high_force_low.json,2,3_high_stiffness,1_low_strength,45,0.01,yes,yes,yes,3,Good Pick,2 or 3
13,2023088_proxy_sample_5_yaw_-15_offset_0.015_rep_0_stiff_medium_force_medium.json,5,2_medium_stiffness,2_medium_strength,-15,0.015,no,no,yes,1,Bad Pick,0 or 1
14,2023087_proxy_sample_1_yaw_-15_offset_0.015_rep_0_stiff_low_force_low.json,1,1_low_stiffness,1_low_strength,-15,0.015,no,no,yes,1,Bad Pick,0 or 1
15,2023087_proxy_sample_6_yaw_-15_offset_0.02_rep_0_stiff_low_force_low.json,6,1_low_stiffness,1_low_strength,-15,0.02,no,no,yes,1,Bad Pick,0 or 1
16,2023087_proxy_sample_3_yaw_-15_offset_0.005_rep_0_stiff_low_force_medium.json,3,1_low_stiffness,2_medium_strength,-15,0.005,yes,yes,yes,3,Bad Pick,2 or 3
17,2023088_proxy_sample_4_yaw_45_offset_0.005_rep_0_stiff_medium_force_medium.json,4,2_medium_stiffness,2_medium_strength,45,0.005,yes,yes,yes,3,Bad Pick,2 or 3
18,20230724_proxy_sample_2_yaw_0_rep_0_stiff_high_force_high.json,2,3_high_stiffness,3_high_strength,0,0.0,yes,yes,no,2,Bad Pick,2 or 3
19,2023083_proxy_sample_7_yaw_45_rep_1_stiff_medium_force_medium.json,7,2_medium_stiffness,2_medium_strength,45,0.0,yes,yes,no,2,Bad Pick,2 or 3
20,2023087_proxy_sample_7_yaw_-15_offset_0.005_rep_0_stiff_low_force_medium.json,7,1_low_stiffness,2_medium_strength,-15,0.005,yes,yes,yes,3,Bad Pick,2 or 3
21,2023083_proxy_sample_8_yaw_45_rep_1_stiff_low_force_low.json,8,1_low_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
22,2023083_proxy_sample_6_yaw_-15_offset_0.02_rep_0_stiff_high_force_medium.json,6,3_high_stiffness,2_medium_strength,-15,0.02,no,no,yes,1,Bad Pick,0 or 1
23,2023083_proxy_sample_2_yaw_-15_rep_0_stiff_medium_force_low.json,2,2_medium_stiffness,1_low_strength,-15,0.0,yes,yes,yes,3,Good Pick,2 or 3
24,20230728_proxy_sample_7_yaw_60_rep_0_stiff_medium_force_high.json,7,2_medium_stiffness,3_high_strength,60,0.0,yes,yes,yes,3,Bad Pick,2 or 3
25,2023083_proxy_sample_6_yaw_45_rep_0_stiff_medium_force_high.json,6,2_medium_stiffness,3_high_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
26,2023083_proxy_sample_5_yaw_-15_rep_1_stiff_high_force_low.json,5,3_high_stiffness,1_low_strength,-15,0.0,no,yes,yes,2,Good Pick,2 or 3
